Date(UTC),Latitude,Longitude,Depth,Magnitude
27-01-2001 00:00,36,28,15,5.4
28-01-2001 00:00,38.4,31.8,10,5.2
29-01-2001 00:00,37,28.7,32,5.1
30-01-2001 00:00,38.8,26.5,22,5.2
31-01-2001 00:00,38.42,31.79,10,5.4
01-02-2001 00:00,36.4,35.2,10,5.5
02-02-2001 00:00,38,37,10,5.3
03-02-2001 00:00,36.4,26.2,150,5.2
04-02-2001 00:00,36.49,28.65,10,4.9
05-02-2001 00:00,40.5,26,10,4.9
06-02-2001 00:00,36,28,15,5
07-02-2001 00:00,37.37,32.73,10,4.9
08-02-2001 00:00,37.5,29,10,4.9
09-02-2001 00:00,37.5,29,15,5.2
10-02-2001 00:00,40.07,36.43,10,5.9
11-02-2001 00:00,41.4,44.3,20,5.2
12-02-2001 00:00,41,30,25,5.5
13-02-2001 00:00,38.5,26,10,4.6
14-02-2001 00:00,41.02,34.41,40,5.2
15-02-2001 00:00,38,29.5,10,4.6
16-02-2001 00:00,41.2,28.6,24,5
17-02-2001 00:00,39.51,28.4,80,5.3
18-02-2001 00:00,39,27.8,10,4.7
19-02-2001 00:00,40,42,30,5.3
20-02-2001 00:00,39.36,25.88,10,4.7
21-02-2001 00:00,38,43,10,4.9
22-02-2001 00:00,40.9,29.2,15,4.3
23-02-2001 00:00,39.67,42.81,10,4.9
24-02-2001 00:00,36.84,31.49,30,5
25-02-2001 00:00,39.96,41.94,10,6.8
26-02-2001 00:00,40.24,41.94,10,5.1
27-02-2001 00:00,40,42,10,4.9
28-02-2001 00:00,40,42,10,4.9
01-03-2001 00:00,40,42,10,4.7
02-03-2001 00:00,39.92,41.47,10,5
03-03-2001 00:00,38.55,30.78,10,5.9
04-03-2001 00:00,38,33.5,10,4.9
05-03-2001 00:00,39.6,27.7,15,5.4
06-03-2001 00:00,41.33,43.41,60,6
07-03-2001 00:00,41.5,43.5,10,4.8
08-03-2001 00:00,40,42,10,5
09-03-2001 00:00,37.2,26.2,15,5
10-03-2001 00:00,39.6,27.7,10,4.6
11-03-2001 00:00,41.3,43.6,18,5.1
12-03-2001 00:00,41,29,8,4.4
13-03-2001 00:00,40.88,30.39,10,4.6
14-03-2001 00:00,37.4,30.5,10,4.9
15-03-2001 00:00,37.4,30.5,10,4.8
16-03-2001 00:00,37.4,30.5,10,4.7
17-03-2001 00:00,37.4,30.5,10,4.5
18-03-2001 00:00,40.71,41.49,10,4.6
19-03-2001 00:00,37.5,27.5,10,4.5
20-03-2001 00:00,38.1,29.8,10,5
21-03-2001 00:00,38.1,29.8,20,5.9
22-03-2001 00:00,38,30,10,4.5
23-03-2001 00:00,38,30,10,4.8
24-03-2001 00:00,38,30,10,4.8
25-03-2001 00:00,38,30,15,5.1
26-03-2001 00:00,37.56,29.17,130,5.4
27-03-2001 00:00,38,29,10,4.5
28-03-2001 00:00,39,31,10,4.9
29-03-2001 00:00,39,31,10,4.9
30-03-2001 00:00,37.4,30.4,15,5.1
31-03-2001 00:00,38.64,28.11,50,5.8
01-04-2001 00:00,38.53,28.19,10,5.7
02-04-2001 00:00,36.8,27.1,10,5.4
03-04-2001 00:00,37.03,29.43,50,6.1
04-04-2001 00:00,37,29.4,10,5
05-04-2001 00:00,37,35,10,5.5
06-04-2001 00:00,35.84,29.5,10,6.8
07-04-2001 00:00,35.88,29.84,80,5.4
08-04-2001 00:00,36,29,10,4.7
09-04-2001 00:00,35.8,29.5,10,5.2
10-04-2001 00:00,35.8,29.5,10,5.1
11-04-2001 00:00,35.8,29.5,10,5.3
12-04-2001 00:00,35.9,28.97,90,5.5
13-04-2001 00:00,35.8,29.5,10,4.8
14-04-2001 00:00,35.8,29.5,10,4.9
15-04-2001 00:00,35.8,29.5,10,5
16-04-2001 00:00,35.8,29.5,10,4.8
17-04-2001 00:00,35.8,29.5,10,5
18-04-2001 00:00,36.54,27.33,100,7.7
19-04-2001 00:00,36.5,27.5,15,5.3
20-04-2001 00:00,36,28,10,4.9
21-04-2001 00:00,36.52,26.69,140,5.1
22-04-2001 00:00,39.7,44,10,4.5
23-04-2001 00:00,40.7,43.7,8,5.2
24-04-2001 00:00,40.94,43.88,10,6
25-04-2001 00:00,41.3,44.3,10,4.6
26-04-2001 00:00,40.13,30.72,10,5.7
27-04-2001 00:00,39,31,10,4.9
28-04-2001 00:00,41.5,44.1,10,4.5
29-04-2001 00:00,39,31,15,5.2
30-04-2001 00:00,37.5,27.5,10,4.5
01-05-2001 00:00,36.19,31.08,10,5.5
02-05-2001 00:00,40.99,30.86,10,5.3
03-05-2001 00:00,38,27,35,6.2
04-05-2001 00:00,38.1,27.4,10,5.2
05-05-2001 00:00,37.4,26.1,10,5
06-05-2001 00:00,42.37,25.9,10,5.6
07-05-2001 00:00,39.64,29.14,10,6.1
08-05-2001 00:00,40.8,26.8,4,4.3
09-05-2001 00:00,39.8,30.5,12,5
10-05-2001 00:00,41.9,43.1,10,4.6
11-05-2001 00:00,39.2,34.8,10,4.5
12-05-2001 00:00,38.05,27.32,10,5.5
13-05-2001 00:00,36.5,36,10,4.8
14-05-2001 00:00,40.47,33.42,70,5
15-05-2001 00:00,40.22,33.67,10,5.7
16-05-2001 00:00,42.3,44.3,10,4.5
17-05-2001 00:00,36.63,26.68,106,5.1
18-05-2001 00:00,41.3,43.1,10,4.6
19-05-2001 00:00,41.5,31.5,10,4.8
20-05-2001 00:00,41.2,32.2,10,4.6
21-05-2001 00:00,40.51,31.43,10,4.8
22-05-2001 00:00,38,29.5,10,4.5
23-05-2001 00:00,36.5,36,10,4.5
24-05-2001 00:00,40.2,37.9,10,6.1
25-05-2001 00:00,40.2,37.9,10,4.5
26-05-2001 00:00,40.2,37.9,10,4.5
27-05-2001 00:00,36.5,31,10,4.9
28-05-2001 00:00,42.32,36.55,10,4.9
29-05-2001 00:00,40.25,38.76,50,5
30-05-2001 00:00,41.11,27.46,10,4.5
31-05-2001 00:00,38,42,10,4.9
01-06-2001 00:00,36.8,26.5,150,5.2
02-06-2001 00:00,38.52,39.4,100,5.1
03-06-2001 00:00,39.7,34,10,5
04-06-2001 00:00,39.55,39.26,10,5
05-06-2001 00:00,39.37,39.35,10,4.9
06-06-2001 00:00,37.21,44.57,10,5.5
07-06-2001 00:00,37.98,44.48,70,7.6
08-06-2001 00:00,38,44.5,10,4.5
09-06-2001 00:00,38,44.5,10,4.9
10-06-2001 00:00,38,44.5,10,4.8
11-06-2001 00:00,38,44.5,10,5.1
12-06-2001 00:00,38,44.5,10,5.4
13-06-2001 00:00,37.97,45,30,6.3
14-06-2001 00:00,37.3,44.8,10,4.5
15-06-2001 00:00,38,44.5,10,4.6
16-06-2001 00:00,38,44.5,10,4.5
17-06-2001 00:00,37.55,44.25,10,4.9
18-06-2001 00:00,38,44.5,10,4.8
19-06-2001 00:00,38,44.5,10,5.2
20-06-2001 00:00,38,44.5,10,5.5
21-06-2001 00:00,38.15,45.1,70,5.2
22-06-2001 00:00,35.8,30.3,10,4.9
23-06-2001 00:00,38,44.5,10,4.9
24-06-2001 00:00,38.46,44.7,80,5
25-06-2001 00:00,38,44.5,10,4.7
26-06-2001 00:00,36.2,27.5,10,4.9
27-06-2001 00:00,38.6,26.2,10,4.5
28-06-2001 00:00,37.39,31.18,80,5.9
29-06-2001 00:00,39.72,39.24,30,5.6
30-06-2001 00:00,38,38.5,10,4.9
01-07-2001 00:00,38.47,31.8,20,5
02-07-2001 00:00,38.5,31.9,10,5
03-07-2001 00:00,38.5,26.2,10,4.6
04-07-2001 00:00,37.5,39.5,10,5
