Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bjørnøya;SN99710;11.07.1981;1
Bjørnøya;SN99710;12.07.1981;1.1
Bjørnøya;SN99710;13.07.1981;0.4
Bjørnøya;SN99710;14.07.1981;0.1
Bjørnøya;SN99710;15.07.1981;0.1
Bjørnøya;SN99710;16.07.1981;0.1
Bjørnøya;SN99710;17.07.1981;0
Bjørnøya;SN99710;18.07.1981;0
Bjørnøya;SN99710;19.07.1981;0
Bjørnøya;SN99710;20.07.1981;0
Bjørnøya;SN99710;21.07.1981;0.2
Bjørnøya;SN99710;22.07.1981;0
Bjørnøya;SN99710;23.07.1981;0
Bjørnøya;SN99710;24.07.1981;5.8
Bjørnøya;SN99710;25.07.1981;0
Bjørnøya;SN99710;26.07.1981;0
Bjørnøya;SN99710;27.07.1981;0.6
Bjørnøya;SN99710;28.07.1981;10.3
Bjørnøya;SN99710;29.07.1981;2.1
Bjørnøya;SN99710;30.07.1981;0
Bjørnøya;SN99710;31.07.1981;0
Bjørnøya;SN99710;01.08.1981;1.2
Bjørnøya;SN99710;02.08.1981;4.8
Bjørnøya;SN99710;03.08.1981;4.5
Bjørnøya;SN99710;04.08.1981;2.8
Bjørnøya;SN99710;05.08.1981;0
Bjørnøya;SN99710;06.08.1981;0.1
Bjørnøya;SN99710;07.08.1981;0.1
Bjørnøya;SN99710;08.08.1981;0
Bjørnøya;SN99710;09.08.1981;0
Bjørnøya;SN99710;10.08.1981;0
Bjørnøya;SN99710;11.08.1981;0
Bjørnøya;SN99710;12.08.1981;0
Bjørnøya;SN99710;13.08.1981;0
Bjørnøya;SN99710;14.08.1981;1.7
Bjørnøya;SN99710;15.08.1981;0.1
Bjørnøya;SN99710;16.08.1981;0.1
Bjørnøya;SN99710;17.08.1981;0
Bjørnøya;SN99710;18.08.1981;0
Bjørnøya;SN99710;19.08.1981;0.1
Bjørnøya;SN99710;20.08.1981;0
Bjørnøya;SN99710;21.08.1981;0
Bjørnøya;SN99710;22.08.1981;0
Bjørnøya;SN99710;23.08.1981;0
Bjørnøya;SN99710;24.08.1981;0
Bjørnøya;SN99710;25.08.1981;0
Bjørnøya;SN99710;26.08.1981;0
Bjørnøya;SN99710;27.08.1981;0.1
Bjørnøya;SN99710;28.08.1981;0.1
Bjørnøya;SN99710;29.08.1981;0.6
Bjørnøya;SN99710;30.08.1981;0
Bjørnøya;SN99710;31.08.1981;0
Bjørnøya;SN99710;01.09.1981;0.1
Bjørnøya;SN99710;02.09.1981;0.1
Bjørnøya;SN99710;03.09.1981;0.2
Bjørnøya;SN99710;04.09.1981;0
Bjørnøya;SN99710;05.09.1981;2.3
Bjørnøya;SN99710;06.09.1981;0.6
Bjørnøya;SN99710;07.09.1981;3.1
Bjørnøya;SN99710;08.09.1981;0
Bjørnøya;SN99710;09.09.1981;0
Bjørnøya;SN99710;10.09.1981;0.3
Bjørnøya;SN99710;11.09.1981;0
Bjørnøya;SN99710;12.09.1981;0.4
Bjørnøya;SN99710;13.09.1981;0.1
Bjørnøya;SN99710;14.09.1981;0.2
Bjørnøya;SN99710;15.09.1981;0
Bjørnøya;SN99710;16.09.1981;0
Bjørnøya;SN99710;17.09.1981;0.6
Bjørnøya;SN99710;18.09.1981;0
Bjørnøya;SN99710;19.09.1981;0
Bjørnøya;SN99710;20.09.1981;0
Bjørnøya;SN99710;21.09.1981;4.6
Bjørnøya;SN99710;22.09.1981;0.6
Bjørnøya;SN99710;23.09.1981;0
Bjørnøya;SN99710;24.09.1981;0.1
Bjørnøya;SN99710;25.09.1981;0
Bjørnøya;SN99710;26.09.1981;0
Bjørnøya;SN99710;27.09.1981;2.5
Bjørnøya;SN99710;28.09.1981;0
Bjørnøya;SN99710;29.09.1981;5
Bjørnøya;SN99710;30.09.1981;3.1
Bjørnøya;SN99710;01.10.1981;0.2
Bjørnøya;SN99710;02.10.1981;0
Bjørnøya;SN99710;03.10.1981;4.3
Bjørnøya;SN99710;04.10.1981;0.3
Bjørnøya;SN99710;05.10.1981;0.1
Bjørnøya;SN99710;06.10.1981;0
Bjørnøya;SN99710;07.10.1981;0
Bjørnøya;SN99710;08.10.1981;0.9
Bjørnøya;SN99710;09.10.1981;0.1
Bjørnøya;SN99710;10.10.1981;0.2
Bjørnøya;SN99710;11.10.1981;1
Bjørnøya;SN99710;12.10.1981;0.1
Bjørnøya;SN99710;13.10.1981;0
Bjørnøya;SN99710;14.10.1981;2.2
Bjørnøya;SN99710;15.10.1981;0
Bjørnøya;SN99710;16.10.1981;0
Bjørnøya;SN99710;17.10.1981;1.3
Bjørnøya;SN99710;18.10.1981;5.5
Bjørnøya;SN99710;19.10.1981;5.6
Bjørnøya;SN99710;20.10.1981;0
Bjørnøya;SN99710;21.10.1981;0
Bjørnøya;SN99710;22.10.1981;0
Bjørnøya;SN99710;23.10.1981;0
Bjørnøya;SN99710;24.10.1981;0
Bjørnøya;SN99710;25.10.1981;0
Bjørnøya;SN99710;26.10.1981;0.4
Bjørnøya;SN99710;27.10.1981;0
Bjørnøya;SN99710;28.10.1981;0.4
Bjørnøya;SN99710;29.10.1981;0
Bjørnøya;SN99710;30.10.1981;0
Bjørnøya;SN99710;31.10.1981;0.1
Bjørnøya;SN99710;01.11.1981;0.1
Bjørnøya;SN99710;02.11.1981;0.8
Bjørnøya;SN99710;03.11.1981;0
Bjørnøya;SN99710;04.11.1981;0
Bjørnøya;SN99710;05.11.1981;0.6
Bjørnøya;SN99710;06.11.1981;0
Bjørnøya;SN99710;07.11.1981;0.2
Bjørnøya;SN99710;08.11.1981;1.5
Bjørnøya;SN99710;09.11.1981;6.1
Bjørnøya;SN99710;10.11.1981;3.1
Bjørnøya;SN99710;11.11.1981;3.6
Bjørnøya;SN99710;12.11.1981;1.5
Bjørnøya;SN99710;13.11.1981;1.1
Bjørnøya;SN99710;14.11.1981;0.8
Bjørnøya;SN99710;15.11.1981;2.7
Bjørnøya;SN99710;16.11.1981;3.9
Bjørnøya;SN99710;17.11.1981;0.6
Bjørnøya;SN99710;18.11.1981;1.6
Bjørnøya;SN99710;19.11.1981;1
Bjørnøya;SN99710;20.11.1981;0
Bjørnøya;SN99710;21.11.1981;0.2
Bjørnøya;SN99710;22.11.1981;0.7
Bjørnøya;SN99710;23.11.1981;1.4
Bjørnøya;SN99710;24.11.1981;0
Bjørnøya;SN99710;25.11.1981;0
Bjørnøya;SN99710;26.11.1981;0
Bjørnøya;SN99710;27.11.1981;0.5
Bjørnøya;SN99710;28.11.1981;0.2
Bjørnøya;SN99710;29.11.1981;1.5
Bjørnøya;SN99710;30.11.1981;0.6
Bjørnøya;SN99710;01.12.1981;2.6
Bjørnøya;SN99710;02.12.1981;0.9
Bjørnøya;SN99710;03.12.1981;0.2
Bjørnøya;SN99710;04.12.1981;1
Bjørnøya;SN99710;05.12.1981;0.6
Bjørnøya;SN99710;06.12.1981;0.2
Bjørnøya;SN99710;07.12.1981;0.6
Bjørnøya;SN99710;08.12.1981;1.4
Bjørnøya;SN99710;09.12.1981;0.6
Bjørnøya;SN99710;10.12.1981;1.4
Bjørnøya;SN99710;11.12.1981;0.5
Bjørnøya;SN99710;12.12.1981;0.1
Bjørnøya;SN99710;13.12.1981;0.1
Bjørnøya;SN99710;14.12.1981;0
Bjørnøya;SN99710;15.12.1981;0
Bjørnøya;SN99710;16.12.1981;0.5
Bjørnøya;SN99710;17.12.1981;0
Bjørnøya;SN99710;18.12.1981;0
Bjørnøya;SN99710;19.12.1981;0
Bjørnøya;SN99710;20.12.1981;0
Bjørnøya;SN99710;21.12.1981;0
Bjørnøya;SN99710;22.12.1981;0.5
Bjørnøya;SN99710;23.12.1981;0
Bjørnøya;SN99710;24.12.1981;0
Bjørnøya;SN99710;25.12.1981;0
Bjørnøya;SN99710;26.12.1981;0.2
Bjørnøya;SN99710;27.12.1981;0.7
Bjørnøya;SN99710;28.12.1981;0
Bjørnøya;SN99710;29.12.1981;0.4
Bjørnøya;SN99710;30.12.1981;0.3
Bjørnøya;SN99710;31.12.1981;0
Bjørnøya;SN99710;01.01.1982;0
Bjørnøya;SN99710;02.01.1982;0.1
Bjørnøya;SN99710;03.01.1982;0
Bjørnøya;SN99710;04.01.1982;0
Bjørnøya;SN99710;05.01.1982;0
Bjørnøya;SN99710;06.01.1982;6.5
Bjørnøya;SN99710;07.01.1982;1.6
Bjørnøya;SN99710;08.01.1982;3.8
Bjørnøya;SN99710;09.01.1982;0.3
Bjørnøya;SN99710;10.01.1982;0
Bjørnøya;SN99710;11.01.1982;0.9
Bjørnøya;SN99710;12.01.1982;0
Bjørnøya;SN99710;13.01.1982;0
Bjørnøya;SN99710;14.01.1982;2.1
Bjørnøya;SN99710;15.01.1982;1.2
Bjørnøya;SN99710;16.01.1982;0.2
Bjørnøya;SN99710;17.01.1982;0
Bjørnøya;SN99710;18.01.1982;3.4
Bjørnøya;SN99710;19.01.1982;2.2
Bjørnøya;SN99710;20.01.1982;9
Bjørnøya;SN99710;21.01.1982;0
Bjørnøya;SN99710;22.01.1982;0
Bjørnøya;SN99710;23.01.1982;0
Bjørnøya;SN99710;24.01.1982;0.9
Bjørnøya;SN99710;25.01.1982;0.1
Bjørnøya;SN99710;26.01.1982;0.4
Bjørnøya;SN99710;27.01.1982;0.2
Bjørnøya;SN99710;28.01.1982;0
Bjørnøya;SN99710;29.01.1982;0
Bjørnøya;SN99710;30.01.1982;3.5
Bjørnøya;SN99710;31.01.1982;0.4
Bjørnøya;SN99710;01.02.1982;0.1
Bjørnøya;SN99710;02.02.1982;0.4
